Temp,Cp,Density,Viscosity,Kinematic Viscosity,Thermal Conductivity,Enthalpy
483,1.0728475541,1686.5928888889,0.0034815662,2.06372014085873E-06,0.4629284649,107246.244751943
484,1.0723985455,1686.0142222222,0.0034740749,0.00000206,0.4625514501,108318.911830298
485,1.0719495455,1685.4355555556,0.0034666196,2.0562514607845E-06,0.4621759355,109391.130530297
486,1.0715005541,1684.8568888889,0.0034592,2.05254489685361E-06,0.4618019239,110462.900851942
487,1.0710515714,1684.2782222222,0.0034518159,2.04885671308656E-06,0.461429418,111534.222795231
488,1.0706025974,1683.6995555556,0.0034444672,2.04518680708463E-06,0.4610584205,112605.096360166
489,1.070153632,1683.1208888889,0.0034371536,2.0415350768742E-06,0.4606889338,113675.521546745
490,1.0697046753,1682.5422222222,0.0034298749,2.03790142090691E-06,0.4603209605,114745.49835497
491,1.0692557273,1681.9635555556,0.003422631,2.03428573805953E-06,0.4599545029,115815.026784839
492,1.0688067879,1681.3848888889,0.0034154216,2.03068792763402E-06,0.4595895634,116884.106836354
493,1.0683578571,1680.8062222222,0.0034082465,2.02710788935749E-06,0.459226144,117952.738509513
494,1.0679089351,1680.2275555556,0.0034011056,2.02354552338223E-06,0.4588642471,119020.921804318
495,1.0674600216,1679.6488888889,0.0033939987,0.00000202,0.4585038745,120088.656720768
496,1.0670111169,1679.0702222222,0.0033869255,2.01647341107064E-06,0.4581450282,121155.943258862
497,1.0665622208,1678.4915555556,0.0033798859,0.000002013,0.4577877102,122222.781418602
498,1.0661133333,1677.9128888889,0.0033728797,2.0094708004212E-06,0.4574319223,123289.171199987
499,1.0656644545,1677.3342222222,0.0033659066,0.000002006,0.4570776661,124355.112603017
500,1.0652155844,1676.7555555556,0.0033589666,2.00253690795854E-06,0.4567249433,125420.605627691
501,1.0647667229,1676.1768888889,0.0033520594,1.99909548807136E-06,0.4563737554,126485.650274011
502,1.0643178701,1675.5982222222,0.0033451847,1.99567095701018E-06,0.456024104,127550.246541976
503,1.063869026,1675.0195555556,0.0033383425,1.99226321875386E-06,0.4556759904,128614.394431586
504,1.0634201905,1674.4408888889,0.0033315326,1.98887217770643E-06,0.455329416,129678.093942841
505,1.0629713636,1673.8622222222,0.0033247547,1.98549773869713E-06,0.4549843821,130741.345075741
506,1.0625225455,1673.2835555556,0.0033180087,1.98213980698032E-06,0.4546408898,131804.147830286
507,1.0620737359,1672.7048888889,0.0033112944,1.97879828823564E-06,0.4542989402,132866.502206476
508,1.0616249351,1672.1262222222,0.0033046115,1.9754730885678E-06,0.4539585344,133928.408204311
509,1.0611761429,1671.5475555556,0.00329796,1.9721641145067E-06,0.4536196734,134989.865823791
510,1.0607273593,1670.9688888889,0.0032913396,1.96887127300748E-06,0.453282358,136050.875064916
511,1.0602785844,1670.3902222222,0.0032847502,1.96559447145038E-06,0.452946589,137111.435927686
512,1.0598298182,1669.8115555556,0.0032781915,1.96233361764087E-06,0.4526123673,138171.548412101
513,1.0593810606,1669.2328888889,0.0032716635,1.95908861980955E-06,0.4522796935,139231.212518161
514,1.0589323117,1668.6542222222,0.0032651658,1.95585938661222E-06,0.4519485682,140290.428245866
515,1.0584835714,1668.0755555556,0.0032586984,1.95264582712987E-06,0.451618992,141349.195595216
516,1.0580348398,1667.4968888889,0.003252261,1.9494478508686E-06,0.4512909653,142407.514566212
517,1.0575861169,1666.9182222222,0.0032458535,1.94626536775977E-06,0.4509644886,143465.385158852
518,1.0571374026,1666.3395555556,0.0032394757,1.94309828815988E-06,0.4506395622,144522.807373137
519,1.056688697,1665.7608888889,0.0032331274,1.93994652285057E-06,0.4503161865,145579.781209068
520,1.05624,1665.1822222222,0.0032268085,1.93680998303871E-06,0.4499943615,146636.306666643
521,1.0557913117,1664.6035555556,0.0032205187,1.93368858035629E-06,0.4496740876,147692.383745863
522,1.055342632,1664.0248888889,0.0032142579,1.93058222686053E-06,0.4493553647,148748.012446729
523,1.054893961,1663.4462222222,0.003208026,1.92749083503377E-06,0.449038193,149803.192769239
524,1.0544452987,1662.8675555556,0.0032018227,1.92441431778359E-06,0.4487225723,150857.924713394
525,1.053996645,1662.2888888889,0.0031956479,1.92135258844268E-06,0.4484085027,151912.208279195
526,1.053548,1661.7102222222,0.0031895014,1.91830556076894E-06,0.4480959839,152966.04346664
527,1.0530993636,1661.1315555556,0.003183383,1.91527314894544E-06,0.4477850158,154019.430275731
528,1.0526507359,1660.5528888889,0.0031772926,1.91225526758042E-06,0.4474755981,155072.368706466
529,1.0522021169,1659.9742222222,0.00317123,1.9092518317073E-06,0.4471677305,156124.858758847
530,1.0517535065,1659.3955555556,0.0031651951,1.90626275678465E-06,0.4468614126,157176.900432873
531,1.0513049048,1658.8168888889,0.0031591876,1.90328795869627E-06,0.446556644,158228.493728543
532,1.0508563117,1658.2382222222,0.0031532074,1.9003273537511E-06,0.4462534241,159279.638645859
533,1.0504077273,1657.6595555556,0.0031472543,1.89738085868322E-06,0.4459517525,160330.335184819
534,1.0499591515,1657.0808888889,0.0031413282,1.89444839065193E-06,0.4456516285,161380.583345425
535,1.0495105844,1656.5022222222,0.0031354289,1.89152986724176E-06,0.4453530516,162430.383127676
536,1.049062026,1655.9235555556,0.0031295562,1.88862520646225E-06,0.4450560209,163479.734531572
537,1.0486134762,1655.3448888889,0.0031237101,1.88573432674828E-06,0.4447605358,164528.637557113
538,1.0481649351,1654.7662222222,0.0031178902,1.88285714695981E-06,0.4444665955,165577.092204298
539,1.0477164026,1654.1875555556,0.0031120965,0.00000188,0.4441741991,166625.098473129
540,1.0472678788,1653.6088888889,0.0031063288,1.87714356472527E-06,0.4438833456,167672.656363605
541,1.0468193636,1653.0302222222,0.0031005869,1.87430700212501E-06,0.4435940342,168719.765875726
542,1.0463708571,1652.4515555556,0.0030948707,1.87148381914199E-06,0.4433062639,169766.427009492
543,1.0459223593,1651.8728888889,0.00308918,1.86867393676206E-06,0.4430200336,170812.639764903
544,1.0454738701,1651.2942222222,0.0030835147,1.86587727639622E-06,0.4427353422,171858.404141959
545,1.0450253896,1650.7155555556,0.0030778746,1.86309375988072E-06,0.4424521886,172903.72014066
546,1.0445769177,1650.1368888889,0.0030722595,1.86032330947693E-06,0.4421705716,173948.587761006
547,1.0441284545,1649.5582222222,0.0030666693,1.85756584787146E-06,0.4418904899,174993.007002997
548,1.04368,1648.9795555556,0.0030611039,1.85482129817598E-06,0.4416119424,176036.977866633
549,1.0432315541,1648.4008888889,0.003055563,1.85208958392742E-06,0.4413349277,177080.500351914
550,1.0427831169,1647.8222222222,0.0030500466,1.84937062908789E-06,0.4410594445,178123.57445884
551,1.0423346883,1647.2435555556,0.0030445545,1.84666435804464E-06,0.4407854913,179166.200187411
552,1.0418862684,1646.6648888889,0.0030390865,0.000001844,0.4405130668,180208.377537627
553,1.0414378571,1646.0862222222,0.0030336424,1.84128956702189E-06,0.4402421694,181250.106509489
554,1.0409894545,1645.5075555556,0.0030282222,1.83862089794275E-06,0.4399727976,182291.387102995
555,1.0405410606,1644.9288888889,0.0030228257,0.000001836,0.43970495,183332.219318146
556,1.0400926753,1644.3502222222,0.0030174527,1.83332064308889E-06,0.4394386249,184372.603154942
557,1.0396442987,1643.7715555556,0.003012103,1.83068891076558E-06,0.4391738207,185412.538613384
558,1.0391959307,1643.1928888889,0.0030067766,1.82806934485426E-06,0.4389105356,186452.02569347
559,1.0387475714,1642.6142222222,0.0030014733,1.82546187314358E-06,0.4386487682,187491.064395201
560,1.0382992208,1642.0355555556,0.002996193,1.82286642384743E-06,0.4383885165,188529.654718578
561,1.0378508788,1641.4568888889,0.0029909354,1.82028292560475E-06,0.4381297789,189567.796663599
562,1.0374025455,1640.8782222222,0.0029857005,1.81771130747977E-06,0.4378725536,190605.490230265
563,1.0369542208,1640.2995555556,0.0029804881,1.81515149896184E-06,0.4376168386,191642.735418577
564,1.0365059048,1639.7208888889,0.0029752981,1.81260342996546E-06,0.4373626323,192679.532228534
565,1.0360575974,1639.1422222222,0.0029701303,1.81006703083038E-06,0.4371099326,193715.880660135
566,1.0356092987,1638.5635555556,0.0029649846,1.80754223232145E-06,0.4368587377,194751.780713382
567,1.0351610087,1637.9848888889,0.0029598608,0.000001805,0.4366090456,195787.232388273
568,1.0347127273,1637.4062222222,0.0029547588,1.80252716236753E-06,0.4363608543,196822.23568481
569,1.0342644545,1636.8275555556,0.0029496785,0.0000018,0.4361141619,197856.790602991
570,1.0338161905,1636.2488888889,0.0029446198,1.7975576747262E-06,0.4358689662,198890.897142818
571,1.0333679351,1635.6702222222,0.0029395824,1.79508985570245E-06,0.4356252653,199924.55530429
572,1.0329196883,1635.0915555556,0.0029345663,1.79263323082285E-06,0.4353830571,200957.765087407
573,1.0324714502,1634.5128888889,0.0029295713,1.79018773382848E-06,0.4351423394,201990.526492168
574,1.0320232208,1633.9342222222,0.0029245973,1.78775329888564E-06,0.4349031102,203022.839518575
575,1.031575,1633.3555555556,0.0029196441,1.78532986058574E-06,0.4346653672,204054.704166627
576,1.0311267879,1632.7768888889,0.0029147117,1.78291735394545E-06,0.4344291083,205086.120436324
577,1.0306785844,1632.1982222222,0.0029097998,1.78051571440657E-06,0.4341943312,206117.088327665
578,1.0302303896,1631.6195555556,0.0029049084,1.77812487783609E-06,0.4339610339,207147.607840652
579,1.0297822035,1631.0408888889,0.0029000373,1.77574478052612E-06,0.4337292139,208177.678975284
580,1.029334026,1630.4622222222,0.0028951864,1.77337535919404E-06,0.4334988692,209207.301731561
581,1.0288858571,1629.8835555556,0.0028903556,0.000001771,0.4332699973,210236.476109483
