,#1,,,,,,,,,,
,double data(8760,11),,,,,,,,,
128,460800,237,475,34,4.8,-15.1,19,957,1.4,20,-9900
129,464400,410,770,46,7.2,-16.1,17,958,2.1,30,-9900
130,468000,530,915,55,7.6,-14.9,16,957,1.4,20,-9900
131,471600,589,970,58,7.9,-14.7,16,955,0.7,0,-9900
132,475200,575,992,58,8.3,-16.7,15,954,0,0,-9900
133,478800,506,980,53,8.9,-15.4,14,954,0,0,-9900
134,482400,371,962,48,9.4,-15.8,13,953,0,0,-9900
135,486000,197,884,34,10,-17.8,12,953,0,0,-9900
136,489600,47,738,17,7.6,-15.6,15,953,1,290,-9900
137,493200,0,309,0,5.2,-15.4,18,953,2.1,270,-9900
138,496800,0,0,0,2.8,-17.2,21,953,3.1,260,-9900
139,500400,0,0,0,2.1,-15.1,23,954,3.3,270,-9900
140,504000,0,0,0,1.3,-15.3,24,954,3.4,290,-9900
141,507600,0,0,0,0.6,-16.7,26,955,3.6,300,-9900
142,511200,0,0,0,-0.3,-14.9,28,955,3.3,300,-9900
143,514800,0,0,0,-1.3,-15,30,955,2.9,290,-9900
144,518400,0,0,0,-2.2,-16.7,32,956,2.6,290,-9900
145,522000,0,0,0,-2.4,-15.3,32,956,1.7,290,-9900
146,525600,0,0,0,-2.6,-15.5,32,956,0.9,280,-9900
147,529200,0,0,0,-2.8,-17.2,32,956,0,0,-9900
148,532800,0,0,0,-2.8,-15,34,956,1,280,-9900
149,536400,0,0,0,-2.8,-14.4,36,957,2.1,270,-9900
150,540000,0,0,0,-2.8,-15,38,957,3.1,270,-9900
151,543600,62,0,27,0.4,-11.9,35,958,2.1,290,-9900
152,547200,181,363,79,3.5,-10.7,31,958,1,310,-9900
153,550800,254,385,98,6.7,-10.6,28,959,0,0,-9900
154,554400,467,392,134,8,-9.6,25,958,2.2,340,-9900
155,558000,534,679,59,9.3,-9.6,23,958,4.5,0,-9900
156,561600,552,885,52,10.6,-11.7,20,957,6.7,20,-9900
157,565200,506,942,48,10.8,-10,20,957,6.2,30,-9900
158,568800,373,969,39,10.9,-10.5,19,957,5.7,40,-9900
159,572400,203,907,28,11.1,-11.7,19,957,5.2,50,-9900
160,576000,49,778,14,8.7,-10.5,22,957,3.5,50,-9900
161,579600,0,358,0,6.3,-11.4,24,958,1.7,50,-9900
162,583200,0,0,0,3.9,-13.3,27,958,0,0,-9900
163,586800,0,0,0,3,-11.9,29,958,0.9,40,-9900
164,590400,0,0,0,2,-12.3,30,959,1.7,40,-9900
165,594000,0,0,0,1.1,-13.9,32,959,2.6,40,-9900
166,597600,0,0,0,0.5,-12.1,34,959,1.7,20,-9900
167,601200,0,0,0,0,-11.9,36,959,0.9,360,-9900
168,604800,0,0,0,-0.6,-13.3,38,960,0,0,-9900
169,608400,0,0,0,-1.9,-12.2,41,960,0.7,310,-9900
170,612000,0,0,0,-3.1,-12.8,43,960,1.4,290,-9900
171,615600,0,0,0,-4.4,-14.4,46,960,2.1,270,-9900
172,619200,0,0,0,-4.8,-13.4,47,960,1.4,270,-9900
173,622800,0,0,0,-5.2,-13.7,47,960,0.7,270,-9900
174,626400,0,0,0,-5.6,-15,48,960,0,0,-9900
175,630000,69,0,18,-2.3,-12.3,42,961,0,0,-9900
176,633600,246,526,32,1.1,-10.7,37,962,0,0,-9900
177,637200,410,812,43,4.4,-11.1,31,962,0,0,-9900
178,640800,527,921,51,6.1,-9.4,29,962,0,0,-9900
179,644400,586,967,54,7.7,-9.4,26,961,0,0,-9900
180,648000,579,989,54,9.4,-10,24,960,0,0,-9900
181,651600,506,987,49,9.8,-8.7,24,960,0,0,-9900
182,655200,375,962,45,10.2,-8.9,23,959,0,0,-9900
183,658800,203,890,31,10.6,-10,23,959,0,0,-9900
184,662400,50,752,16,8.7,-9.1,25,959,0,0,-9900
185,666000,0,340,0,6.9,-10,26,959,0,0,-9900
186,669600,0,0,0,5,-12.2,28,959,0,0,-9900
187,673200,0,0,0,3.7,-10.6,31,959,0,0,-9900
188,676800,0,0,0,2.4,-10.2,35,960,0,0,-9900
189,680400,0,0,0,1.1,-11.7,38,960,0,0,-9900
190,684000,0,0,0,-0.2,-10.6,41,960,0.7,270,-9900
191,687600,0,0,0,-1.5,-11,44,960,1.4,270,-9900
192,691200,0,0,0,-2.8,-12.8,47,960,2.1,270,-9900
193,694800,0,0,0,-3,-11.2,49,960,2.4,280,-9900
194,698400,0,0,0,-3.1,-10.9,51,960,2.8,290,-9900
195,702000,0,0,0,-3.3,-11.7,53,960,3.1,300,-9900
196,705600,0,0,0,-3.3,-10.6,53,961,2.9,290,-9900
197,709200,0,0,0,-3.3,-10.6,53,961,2.8,290,-9900
198,712800,0,0,0,-3.3,-11.7,53,962,2.6,280,-9900
199,716400,67,0,19,-0.2,-9.3,46,962,1.7,300,-9900
200,720000,244,494,34,3,-8.8,38,962,0.9,320,-9900
201,723600,409,795,46,6.1,-10,31,963,0,0,-9900
202,727200,500,907,63,8.5,-8,28,962,0.9,350,-9900
203,730800,549,884,82,10.9,-7.4,25,961,1.7,10,-9900
204,734400,561,864,140,13.3,-7.8,22,960,2.6,30,-9900
205,738000,431,788,139,13.5,-6.9,22,960,1.7,20,-9900
206,741600,341,611,154,13.7,-6.3,23,960,0.9,10,-9900
207,745200,140,500,88,13.9,-7.2,23,960,0,0,-9900
208,748800,36,226,25,11.9,-6.7,25,960,0,0,-9900
209,752400,0,109,0,9.8,-7.4,27,960,0,0,-9900
210,756000,0,0,0,7.8,-9.4,29,960,0,0,-9900
211,759600,0,0,0,6.3,-8.2,32,961,0,0,-9900
212,763200,0,0,0,4.8,-8.7,34,961,0,0,-9900
213,766800,0,0,0,3.3,-10,37,961,0,0,-9900
214,770400,0,0,0,2.9,-8.3,40,962,0.7,290,-9900
215,774000,0,0,0,2.6,-7.7,43,962,1.4,280,-9900
216,777600,0,0,0,2.2,-8.3,46,962,2.1,270,-9900
217,781200,0,0,0,2.6,-7.2,45,962,2.3,280,-9900
218,784800,0,0,0,2.9,-7,45,962,2.4,290,-9900
219,788400,0,0,0,3.3,-7.8,44,962,2.6,300,-9900
220,792000,0,0,0,2.4,-6.9,47,962,2.9,300,-9900
221,795600,0,0,0,1.5,-7.1,49,963,3.3,300,-9900
222,799200,0,0,0,0.6,-8.3,52,963,3.6,300,-9900
223,802800,59,0,28,3.5,-6.5,45,964,3.4,290,-9900
224,806400,237,323,32,6.5,-6,38,964,3.3,290,-9900
225,810000,409,775,39,9.4,-6.7,31,964,3.1,280,-9900
226,813600,531,923,47,11.5,-5.6,28,963,2.8,300,-9900
227,817200,584,977,55,13.5,-5,26,962,2.4,320,-9900
228,820800,580,978,56,15.6,-5.6,23,961,2.1,340,-9900
229,824400,506,976,50,16.1,-4.4,23,961,2.3,10,-9900
230,828000,380,950,37,16.7,-4.5,22,961,2.4,40,-9900
231,831600,210,910,27,17.2,-5,22,960,2.6,70,-9900
232,835200,53,789,14,14.6,-4.6,25,961,1.7,60,-9900
233,838800,0,401,0,12,-5.7,27,961,0.9,40,-9900
234,842400,0,0,0,9.4,-7.2,30,961,0,0,-9900
235,846000,0,0,0,7.7,-6.4,34,961,0,0,-9900
236,849600,0,0,0,6.1,-6.7,37,961,0,0,-9900
237,853200,0,0,0,4.4,-7.8,41,961,0,0,-9900
238,856800,0,0,0,4,-6.6,43,961,0.9,340,-9900
239,860400,0,0,0,3.7,-6.1,46,960,1.7,320,-9900
240,864000,0,0,0,3.3,-6.7,48,960,2.6,310,-9900
241,867600,0,0,0,3.1,-5.8,49,960,1.7,310,-9900
242,871200,0,0,0,3,-5.9,49,960,0.9,310,-9900
243,874800,0,0,0,2.8,-6.7,50,959,0,0,-9900
244,878400,0,0,0,3.2,-5.5,50,959,1.4,310,-9900
245,882000,0,0,0,3.5,-5.5,49,959,2.7,310,-9900
246,885600,2,0,1,3.9,-6.1,49,959,4.1,310,-9900
247,889200,60,1,35,5.7,-4.7,45,959,3.4,320,-9900
248,892800,213,258,73,7.6,-4.5,40,959,2.8,340,-9900
249,896400,389,525,67,9.4,-5,36,959,2.1,350,-9900
250,900000,437,801,141,11.3,-3.9,33,958,2.4,10,-9900
251,903600,534,595,117,13.1,-4,29,956,2.8,20,-9900
252,907200,508,767,181,15,-4.4,26,955,3.1,40,-9900
253,910800,496,608,163,15.6,-3.8,25,954,2.1,30,-9900
254,914400,345,689,134,16.1,-3.9,24,954,1,20,-9900
255,918000,190,557,91,16.7,-4.4,23,953,0,0,-9900
256,921600,40,421,32,14.3,-4.8,25,953,0,0,-9900
257,925200,0,84,0,11.8,-5.4,28,952,0,0,-9900
258,928800,0,0,0,9.4,-7.2,30,952,0,0,-9900
259,932400,0,0,0,8.9,-6.1,32,952,0.9,320,-9900
260,936000,0,0,0,8.3,-5.5,35,952,1.7,310,-9900
261,939600,0,0,0,7.8,-6.1,37,952,2.6,300,-9900
262,943200,0,0,0,7.6,-5.1,38,951,2.9,280,-9900
263,946800,0,0,0,7.4,-5,39,951,3.3,270,-9900
264,950400,0,0,0,7.2,-5.6,40,950,3.6,250,-9900
265,954000,0,0,0,6.8,-5.2,40,949,2.4,260,-9900
