P_net,T_in_ref_blk,p_high,PR,pinch_PHX,dTemp_HTF_PHX,load,T_HTF_in,T_amb_input,eta_gross,eta_Q,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.569916,1004.910063,292.919686,0.475178,0.600759,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.717526,979.995571,269.852219,0.488935,0.674758,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.530942,980.089897,287.736451,0.447364,0.498337,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.296165,982.741624,311.055640,0.476291,0.798923,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.406321,981.696906,318.886979,0.437108,0.686642,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.068866,971.878250,313.980829,0.453280,0.743871,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.737063,1010.933407,285.644613,0.507159,0.797835,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.902406,956.109607,276.915309,0.493502,0.753698,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.986374,961.012800,309.418369,0.466309,0.803475,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.467019,958.026356,314.350599,0.450954,0.737580,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.680745,959.013286,283.374023,0.466168,0.575440,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.518736,952.086024,272.465812,0.413304,0.422972,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.341905,978.144989,256.235267,0.518225,0.935239,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.748821,953.317285,264.773530,0.472489,0.614951,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.780268,1011.807376,271.093317,0.511905,0.845901,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.240313,1006.896755,259.670542,0.526922,0.946082,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.616575,1000.052143,282.850370,0.481435,0.635609,
